id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
27,P,COLOMBI,CAGLIARI,"1,8","8,3",-7
848,C,MANDRAGORA,GENOA,"1,8","1,1",0
405,P,MASSOLO,SAMPDORIA,"1,8","1,8",0
717,C,GRASSI,ATALANTA,"1,7","1,8",0
28,P,CARBONI,CAGLIARI,"1,7","1,8",0
242,P,STRAKOSHA,LAZIO,"1,7",1,0
184,P,BERNI,INTER,"1,6","1,1",0
160,P,LAMANNA,GENOA,"1,6","1,2",0
753,C,DE VITIS,SAMPDORIA,"1,6","2,7",-1
862,A,FARES,VERONA,"1,6","1,4",0
838,A,HARASLIN,PARMA,"1,6","1,1",0
882,P,FRISON,SAMPDORIA,"1,6","1,1",0
353,P,IACOBUCCI,PARMA,"1,6","1,8",0
378,P,LOBONT,ROMA,"1,6","1,4",0
456,P,AVRAMOV,ATALANTA,"1,5","1,6",0
828,P,PUGLIESI,EMPOLI,"1,5","1,5",0
761,P,GOLLINI,VERONA,"1,5","1,9",0
772,A,MONCINI,CESENA,"1,5","1,2",0
742,P,ROSATI,FIORENTINA,"1,5","1,3",0
786,P,MERET,UDINESE,"1,4","1,3",0
834,C,BARELLA,CAGLIARI,"1,4","1,1",0
857,C,YABRE,CESENA,"1,4","1,1",0
855,C,MATTIELLO,CHIEVO,"1,4","1,1",0
356,D,FEDDAL,PARMA,"1,4",2,-1
2,P,FREZZOLINI,ATALANTA,"1,4","1,5",0
185,P,CARRIZO,INTER,"1,3","1,1",0
298,P,COLOMBO,NAPOLI,"1,3","1,6",0
326,P,UJKANI,PALERMO,"1,3","1,7",0
825,D,SOMMA,EMPOLI,"1,3","1,3",0
856,D,DONKOR,INTER,"1,2","1,1",0
379,P,SKORUPSKI,ROMA,"1,2","1,8",0
213,P,STORARI,JUVENTUS,"1,2","1,9",0
53,P,BRESSAN,CESENA,"1,2","1,9",0
126,P,LUPATELLI,FIORENTINA,"1,2","1,1",0
105,P,BIGGERI,EMPOLI,"1,2","1,1",0
212,P,RUBINHO,JUVENTUS,"1,1","1,9",0
873,P,BAJZA,PARMA,"1,1","1,1",0
829,D,BARRY,SAMPDORIA,"1,1","1,1",0
831,D,BLANCO JA,SAMPDORIA,"1,1","1,1",0
832,D,BLANCO C,JUVENTUS,"1,1","1,1",0
833,C,CALABRIA,MILAN,"1,1","1,1",0
835,C,PETRICCIONE,FIORENTINA,"1,1","1,1",0
836,C,MASTALLI,MILAN,"1,1","1,1",0
837,A,PUSCAS,INTER,"1,1","1,1",0
840,A,LUNETTA,ATALANTA,"1,1","1,1",0
841,A,SOLINAS,CAGLIARI,"1,1","1,1",0
890,P,ICHAZO,TORINO,"1,1","1,1",0
771,A,BENTIVEGNA,PALERMO,"1,1","1,1",0
722,P,SECULIN,CHIEVO,"1,1","1,2",0
814,P,CASTELLAZZI,TORINO,1,"1,3",0
827,P,SOMMARIVA,GENOA,1,"1,1",0
853,A,VALZANIA,CESENA,1,"1,1",0
430,P,POLITO,SASSUOLO,1,"1,8",0
325,P,FULIGNATI,PALERMO,1,"1,7",0
297,P,ANDUJAR,NAPOLI,1,"1,3",0
