"ATALANTA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
195,D,SILVESTRE,"6,01",0,0,0,0,0,0,0,0,1,0,0,0
387,D,ROMAGNOLI,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
409,D,"DE SILVESTRI","7,04",1,0,0,0,0,0,0,0,0,0,1,0
413,D,REGINI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
364,C,ACQUAH,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
416,C,DUNCAN,6*,0,0,0,0,0,0,0,0,0,0,0,0
418,C,OBIANG,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
419,C,PALOMBO,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
421,C,SORIANO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
424,A,EDER,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
427,A,OKAKA,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
512,A,MURIEL,"5,51",0,0,0,0,0,0,0,0,1,0,0,0
887,A,ETO'O,"7,04",1,0,0,0,0,0,0,0,0,0,0,0
802,ALL,MIHAJLOVIC,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
"SASSUOLO Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
1,P,CONSIGLI,"6,53",0,1,0,0,0,0,0,0,0,0,0,0
432,D,ACERBI,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
438,D,LONGHI,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
440,D,PELUSO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
442,D,VRSALJKO,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
96,C,LAZAREVIC,6*,0,0,0,0,0,0,0,0,0,0,0,0
207,C,TAIDER,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
444,C,BRIGHI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
445,C,CHIBSAH,6*,0,0,0,0,0,0,0,0,0,0,0,0
447,C,MAGNANELLI,"6,01",0,0,0,0,0,0,1,0,0,0,0,0
448,C,MISSIROLI,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
449,A,BERARDI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
453,A,"SANSONE N.","5,51",0,0,0,0,0,0,1,0,0,0,0,0
454,A,ZAZA,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
803,ALL,"DI FRANCESCO","6,53",0,0,0,0,0,0,0,0,0,0,0,0
"TORINO Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
455,P,PADELLI,"6,52",0,3,0,0,0,0,0,0,0,0,0,0
458,D,BOVO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
461,D,GLIK,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
465,D,MOLINARO,"5,52",0,0,0,0,0,1,0,0,0,0,0,0
466,D,MORETTI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
813,D,"BRUNO PERES","5,01",0,0,0,0,0,0,0,0,0,0,0,0
469,C,BENASSI,"6,53",1,0,0,0,0,0,1,0,0,0,0,0
470,C,"EL KADDOURI","6,01",0,0,0,0,0,0,0,0,0,0,0,0
471,C,FARNERUD,"5,51",0,0,0,0,0,0,0,0,1,0,0,0
472,C,GAZZI,"5,52",0,0,0,0,0,0,1,0,0,0,0,0
475,C,VIVES,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
100,A,"MAXI LOPEZ","5,51",0,0,0,0,0,0,0,0,0,0,0,0
371,A,AMAURI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
480,A,QUAGLIARELLA,"7,04",1,0,0,0,0,0,0,0,0,0,0,0
804,ALL,VENTURA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
"UDINESE Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
759,P,KARNEZIS,"7,03",0,2,0,0,0,0,0,0,0,0,0,0
487,D,BUBNJIC,6*,0,0,0,0,0,0,0,0,0,0,0,0
489,D,DANILO,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
